[2026-06-25 13:58:59] close: 61748.72, RSI: 49.27, SMOOTHING: 58.49
[2026-06-25 13:59:59] close: 61732.06, RSI: 46.80, SMOOTHING: 57.84
[2026-06-25 14:00:59] close: 61748.72, RSI: 49.53, SMOOTHING: 57.08
[2026-06-25 14:01:59] close: 61782.0, RSI: 54.55, SMOOTHING: 56.61
[2026-06-25 14:02:59] close: 61682.0, RSI: 41.26, SMOOTHING: 55.31
[2026-06-25 14:03:59] close: 61726.01, RSI: 47.34, SMOOTHING: 54.21
[2026-06-25 14:15:59] close: 61795.99, RSI: 56.34, SMOOTHING: 49.31
[2026-06-25 14:16:59] close: 61875.58, RSI: 63.99, SMOOTHING: 50.98
[2026-06-25 14:17:59] close: 61842.96, RSI: 58.68, SMOOTHING: 52.71
[2026-06-25 14:18:59] close: 61802.01, RSI: 53.39, SMOOTHING: 53.08
[2026-06-25 14:19:59] close: 61853.4, RSI: 58.45, SMOOTHING: 54.12
[2026-06-25 14:20:59] close: 61803.0, RSI: 52.44, SMOOTHING: 54.72
[2026-06-25 14:21:59] close: 61832.0, RSI: 55.29, SMOOTHING: 55.78
[2026-06-25 14:22:59] close: 61803.0, RSI: 51.94, SMOOTHING: 55.67
[2026-06-25 14:23:59] close: 61796.0, RSI: 51.13, SMOOTHING: 55.58
[2026-06-25 14:24:59] close: 61838.0, RSI: 55.58, SMOOTHING: 55.98
[2026-06-25 14:25:59] close: 61823.5, RSI: 53.76, SMOOTHING: 56.06
[2026-06-25 14:26:59] close: 61830.0, RSI: 54.48, SMOOTHING: 55.74
[2026-06-25 14:27:59] close: 61847.99, RSI: 56.50, SMOOTHING: 56.08
[2026-06-25 14:28:59] close: 61810.01, RSI: 51.33, SMOOTHING: 55.74
[2026-06-25 14:29:59] close: 61807.88, RSI: 51.05, SMOOTHING: 54.84
[2026-06-25 14:30:59] close: 61838.4, RSI: 54.88, SMOOTHING: 54.21
[2026-06-25 14:31:59] close: 61808.01, RSI: 50.63, SMOOTHING: 53.63
[2026-06-25 14:32:59] close: 61844.24, RSI: 55.09, SMOOTHING: 53.75
[2026-06-25 14:33:59] close: 61851.78, RSI: 55.98, SMOOTHING: 53.58
[2026-06-25 14:34:59] close: 61852.68, RSI: 56.09, SMOOTHING: 53.84
[2026-06-25 14:35:59] close: 61866.01, RSI: 57.81, SMOOTHING: 54.02
[2026-06-25 14:36:59] close: 61878.39, RSI: 59.39, SMOOTHING: 54.55
[2026-06-25 14:37:59] close: 61877.26, RSI: 59.17, SMOOTHING: 55.13
[2026-06-25 14:38:59] close: 61894.42, RSI: 61.49, SMOOTHING: 55.55
[2026-06-25 14:39:59] close: 61914.1, RSI: 64.01, SMOOTHING: 56.28
[2026-06-25 14:40:59] close: 61939.99, RSI: 67.07, SMOOTHING: 57.18
[2026-06-25 14:41:59] close: 61938.22, RSI: 65.75, SMOOTHING: 59.19
[2026-06-25 14:42:59] close: 61921.05, RSI: 61.70, SMOOTHING: 59.92
[2026-06-25 14:53:59] close: 61866.07, RSI: 50.65, SMOOTHING: 53.72
[2026-06-25 14:55:59] close: 61854.0, RSI: 47.97, SMOOTHING: 51.52
[2026-06-25 14:56:59] close: 61874.0, RSI: 52.56, SMOOTHING: 51.01
[2026-06-25 14:57:59] close: 61914.01, RSI: 60.14, SMOOTHING: 50.95
[2026-06-25 14:58:59] close: 61918.0, RSI: 60.81, SMOOTHING: 51.27
[2026-06-25 14:59:59] close: 61911.04, RSI: 58.94, SMOOTHING: 51.58
[2026-06-25 15:00:59] close: 61915.3, RSI: 59.76, SMOOTHING: 52.26
[2026-06-25 15:01:59] close: 61890.01, RSI: 53.03, SMOOTHING: 52.33
[2026-06-25 15:02:59] close: 61897.67, RSI: 54.70, SMOOTHING: 52.97
[2026-06-25 15:03:59] close: 61852.62, RSI: 44.68, SMOOTHING: 52.90
[2026-06-25 15:04:59] close: 61846.88, RSI: 43.58, SMOOTHING: 52.96
[2026-06-25 15:05:59] close: 61829.0, RSI: 40.27, SMOOTHING: 52.23
[2026-06-25 15:06:59] close: 61806.01, RSI: 36.44, SMOOTHING: 51.19
[2026-06-25 15:07:59] close: 61762.29, RSI: 30.49, SMOOTHING: 49.61
[2026-06-25 15:08:59] close: 61776.0, RSI: 34.12, SMOOTHING: 48.39
